"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","20.68","44170936051.88","n/a","Switzerland","n/a","Consumer Durables","Electrical Products","http://www.nasdaq.com/symbol/abb",
"ACIU","AC Immune SA","14.15","783853994.3","n/a","Switzerland","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu",
"ACN","Accenture plc","119.68","81056111030.4","n/a","Ireland","2001","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/acn",
"ADAP","Adaptimmune Therapeutics plc","5.12","362420817.92","n/a","United Kingdom","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap",
"AGRO","Adecoagro S.A.","10.76","1316830320","n/a","Luxembourg","2011","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/agro",
"AAAP","Advanced Accelerator Applications S.A.","35.95","1553955790.3","n/a","France","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap",
"ANW","Aegean Marine Petroleum Network Inc.","10.9","429501659.8","n/a","Greece","2006","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","23.06","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","25.34","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.08","10714550397.12","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.11","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aeh",
"AEK","Aegon NV","26.21","0","n/a","Netherlands","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/aek",
"AER","Aercap Holdings N.V.","45.17","8209359947.78","n/a","Netherlands","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"AFMD","Affimed N.V.","2.45","81485539.8","n/a","Germany","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/afmd",
"AIXG","Aixtron SE","4.6924","523869286.8072","n/a","Germany","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aixg",
"ALKS","Alkermes plc","59.18","8993613124.76","n/a","Ireland","1991","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/alks",
"AWH","Allied World Assurance Company Holdings, AG","46.35","4032373105.35","n/a","Switzerland","2006","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/awh",
"ASPS","Altisource Portfolio Solutions S.A.","27.94","527440535.16","n/a","Luxembourg","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/asps",
"AMRN","Amarin Corporation plc","3.47","936736524.83","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/amrn",
"DOX","Amdocs Limited","58.67","8674476840","n/a","Guernsey","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dox",
"AMFW","Amec Plc Ord","5.31","2087529927.03","n/a","United Kingdom","2014","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/amfw",
"BUD","Anheuser-Busch Inbev SA","103.33","199809384364.73","n/a","Belgium","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/bud",
"MT","ArcelorMittal","7.06","21582420000","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mt",
"ASND","Ascendis Pharma A/S","20.4","512616136.8","n/a","Denmark","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/asnd",
"ASML","ASML Holding N.V.","105.08","44538732997.76","n/a","Netherlands","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZN","Astrazeneca PLC","27.34","69170200000","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/azn",
"ABY","Atlantica Yield plc","18.02","1805915025.2","n/a","United Kingdom","2014","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/aby",
"TEAM","Atlassian Corporation Plc","27.93","6147882892.2","n/a","United Kingdom","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/team",
"EARS","Auris Medical Holding AG","1.2366","42452111.9664","n/a","Switzerland","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ears",
"ALV","Autoliv, Inc.","99.11","8743898182.47","n/a","Sweden","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/alv",
"AV","Aviva plc","11.39","23110310000","n/a","United Kingdom","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/av",
"AVV.CL","Aviva plc","n/a","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/avv.cl",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","6.26","40567040610.5","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bbva",
"SAN","Banco Santander, S.A.","4.52","65241680000","n/a","Spain","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/san",
"SAN^A","Banco Santander, S.A.","25.1799","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^a",
"SAN^B","Banco Santander, S.A.","23.31","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^b",
"SAN^C","Banco Santander, S.A.","25.06","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^c",
"SAN^I","Banco Santander, S.A.","24.9474","0","n/a","Spain","n/a","n/a","n/a","http://www.nasdaq.com/symbol/san^i",
"TAPR","Barclays Inverse US Treasury Composite ETN","26.4268","17446973.36","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/tapr",
"BCS","Barclays PLC","10.52","44560090000","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/bcs",
"BCS^A","Barclays PLC","25.59","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^a",
"BCS^D","Barclays PLC","25.85","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcs^d",
"DLBL","Barclays PLC","79.33","5628939.48","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbl",
"BBL","BHP Billiton plc","31.99","85132474985.25","n/a","United Kingdom","n/a","Energy","Coal Mining","http://www.nasdaq.com/symbol/bbl",
"BP","BP p.l.c.","34.4","108457027711.2","n/a","United Kingdom","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/bp",
"BTI","British American Tobacco p.l.c.","108.74","92522712349.48","n/a","United Kingdom","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
"BT","BT Group plc","22.94","45701983604.22","n/a","United Kingdom","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/bt",
"CPLP","Capital Product Partners L.P.","3.01","363925627.24","n/a","Greece","2007","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cplp",
"CLLS","Cellectis S.A.","17.99","635613595.05","n/a","France","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/clls",
"CYAD","Celyad SA","18","167644854","n/a","Belgium","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyad",
"CGG","CGG","13.71","303445472.79","n/a","France","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cgg",
"CBI","Chicago Bridge & Iron Company N.V.","31.99","3201753827.16","n/a","Netherlands","1997","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/cbi",
"CMPR","Cimpress N.V","85.78","2714974314.3","n/a","Netherlands","n/a","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/cmpr",
"CNV","Cnova N.V.","5.46","2409486239.16","n/a","Netherlands","2014","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/cnv",
"CSTM","Constellium N.V.","6.1","643694405.3","n/a","Netherlands","2013","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/cstm",
"CLB","Core Laboratories N.V.","108.26","4775322725.86","n/a","Netherlands","1995","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/clb",
"CMRE","Costamare Inc.","7.45","563947120","n/a","Greece","2010","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/cmre",
"CMRE^B","Costamare Inc.","19.1","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^b",
"CMRE^C","Costamare Inc.","19.87","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^c",
"CMRE^D","Costamare Inc.","20.3","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cmre^d",
"GLDI","Credit Suisse Gold Shares Covered Calls ETN","9.465","128017929.93","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/gldi",
"CS","Credit Suisse Group","13.93","29090019000","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cs",
"SLVO","Credit Suisse Silver Shares Covered Call ETN","8.57","7284500","n/a","Switzerland","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/slvo",
"CRH","CRH PLC","33.71","27774048338.63","n/a","Ireland","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/crh",
"CRSP","CRISPR Therapeutics AG","20.815","819291596.71","n/a","Switzerland","2016","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/crsp",
"CRTO","Criteo S.A.","41.17","2625059102.35","n/a","France","2013","Technology","Advertising","http://www.nasdaq.com/symbol/crto",
"CB","D/B/A Chubb Limited New","127.05","59121338880.45","n/a","Switzerland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cb",
"DAC","Danaos Corporation","3.35","367827829.2","n/a","Greece","2006","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dac",
"DBVT","DBV Technologies S.A.","36.6","1771815442.8","n/a","France","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dbvt",
"DLPH","Delphi Automotive plc","68.67","18598560138.9","n/a","United Kingdom","2011","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph",
"DB","Deutsche Bank AG","16.03","22103767000","n/a","Germany","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/db",
"DTK","Deutsche Bank AG","23.88","0","n/a","Germany","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dtk",
"DXB","Deutsche Bank AG","22.98","0","n/a","Germany","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dxb",
"DHT","DHT Holdings, Inc.","4.08","380933532.96","n/a","Jersey","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dht",
"DEO","Diageo plc","101.67","70009474899.03","n/a","United Kingdom","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/deo",
"DCIX","Diana Containerships Inc.","5.04","47180820.96","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dcix",
"DSX","Diana Shipping inc.","3.4","280656457.8","n/a","Greece","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsx",
"DSX^B","Diana Shipping inc.","16.59","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dsx^b",
"DSXN","Diana Shipping inc.","22.05","0","n/a","Greece","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/dsxn",
"DRYS","DryShips Inc.","9.034","10060560.522","n/a","Greece","2005","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/drys",
"DLNG","Dynagas LNG Partners LP","14.93","529865700","n/a","Greece","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/dlng",
"DLNG^A","Dynagas LNG Partners LP","25.0948","0","n/a","Greece","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dlng^a",
"ETN","Eaton Corporation, PLC","65.54","29604418000","n/a","Ireland","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/etn",
"EDAP","EDAP TMS S.A.","2.98","85608295.68","n/a","France","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"ENDP","Endo International plc","17.1","3811199863.5","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/endp",
"E","ENI S.p.A.","26.73","48570886935.45","n/a","Italy","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/e",
"ESV","ENSCO plc","8.57","2601402614.91","n/a","United Kingdom","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/esv",
"ERIC","Ericsson","5.185","17271235000","n/a","Sweden","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"EURN","Euronav NV","7.65","1214378457.3","n/a","Belgium","2015","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/eurn",
"ESEA","Euroseas Ltd.","2.24","18358502.4","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"GSM","Ferroglobe PLC","11.39","1957236562.67","n/a","United Kingdom","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm",
"FCAM","Fiat Chrysler Automobiles N.V.","71.96","0","n/a","United Kingdom","2014","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fcam",
"FCAU","Fiat Chrysler Automobiles N.V.","7.54","12803055139.42","n/a","United Kingdom","2014","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fcau",
"FLML","Flamel Technologies S.A.","10.77","444168305.58","n/a","France","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flml",
"FLY","Fly Leasing Limited","13.78","447217208.62","n/a","Ireland","2007","n/a","n/a","http://www.nasdaq.com/symbol/fly",
"FWP","Forward Pharma A/S","20.7","970244893.8","n/a","Denmark","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fwp",
"FMS","Fresenius Medical Care Corporation","38.94","23920166235.24","n/a","Germany","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/fms",
"GLPG","Galapagos NV","59.21","2730143968.68","n/a","Belgium","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glpg",
"GRMN","Garmin Ltd.","52.17","9831249627.06","n/a","Switzerland","2000","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/grmn",
"GSK","GlaxoSmithKline PLC","38.43","93623166000","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gsk",
"GBLI","Global Indemnity Limited","36.53","528163014.08","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbli",
"GBLIZ","Global Indemnity Limited","24.74","0","n/a","Ireland","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/gbliz",
"GSL","Global Ship Lease, Inc.","2.01","110495804.37","n/a","United Kingdom","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/gsl",
"GSL^B","Global Ship Lease, Inc.","20.4499","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gsl^b",
"GLBS","Globus Maritime Limited","4.57","11789631.16","n/a","Greece","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs",
"GRFS","Grifols, S.A.","15.42","10529148747.66","n/a","Spain","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs",
"GWPH","GW Pharmaceuticals Plc","121.65","2647713953.1","n/a","United Kingdom","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gwph",
"HZNP","Horizon Pharma plc","21.46","3460584211.74","n/a","Ireland","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hznp",
"HSBC","HSBC Holdings plc","39.47","156403822000","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hsbc",
"HSBC^A","HSBC Holdings plc","25.35","0","n/a","United Kingdom","n/a","n/a","n/a","http://www.nasdaq.com/symbol/hsbc^a",
"HSEA","HSBC Holdings plc","26.05","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hsea",
"HSEB","HSBC Holdings plc","25.83","0","n/a","United Kingdom","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/hseb",
"ICLR","ICON plc","76.38","4264120718.94","n/a","Ireland","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/iclr",
"ING","ING Group, N.V.","13.62","52711896886.5","n/a","Netherlands","1997","Finance","Commercial Banks","http://www.nasdaq.com/symbol/ing",
"INZ","ING Group, N.V.","25.69","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/inz",
"ISF","ING Group, N.V.","25.21","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/isf",
"ISG","ING Group, N.V.","25.15","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/isg",
"ISP","ING Group, N.V.","25.1501","0","n/a","Netherlands","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/isp",
"IR","Ingersoll-Rand plc (Ireland)","75.11","19403229843.06","n/a","Ireland","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ir",
"INNL","Innocoll Holdings","2.93","919748342.12","n/a","Ireland","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/innl",
"I","Intelsat S.A.","3.37","396986000","n/a","Luxembourg","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/i",
"IHG","Intercontinental Hotels Group","40.75","8018148485","n/a","United Kingdom","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/ihg",
"INXN","InterXion Holding N.V.","34.43","2426591970","n/a","Netherlands","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inxn",
"DTYS","iPath US Treasury 10-year Bear ETN","18.8973","58349552.2587","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtys",
"DTYL","iPath US Treasury 10-year Bull ETN","81.8","5627267.4","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtyl",
"DTUS","iPath US Treasury 2-year Bear ETN","31.44","7811142.24","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtus",
"DTUL","iPath US Treasury 2-year Bull ETN","63.765","3757862.745","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dtul",
"DFVS","iPath US Treasury 5-year Bear Exchange Traded Note","29.94","2128734","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dfvs",
"DFVL","iPath US Treasury 5-year Bull ETN","69.64","4902656","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dfvl",
"FLAT","iPath US Treasury Flattener ETN","59.52","3292170.24","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/flat",
"DLBS","iPath US Treasury Long Bond Bear ETN","19.3712","21241450.6176","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/dlbs",
"STPP","iPath US Treasury Steepener ETN","34.68","5650065.6","n/a","United Kingdom","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/stpp",
"JHX","James Hardie Industries plc.","14.65","6528064905","n/a","Ireland","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/jhx",
"JAZZ","Jazz Pharmaceuticals plc","110.6","6624092251","n/a","Ireland","2007","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/jazz",
